Campaign Name,Email,Email Provider,Lead Status,Verification Status,Interest Status,Last contacted from,phone,website,lastName,firstName,companyName,personalization,email,campaign,jobTitle,linkedIn,location,PhoneNumber,companyDomain,Telefoonnummer
"RijFlow App NL",larissa@easy2drive.nl,Other,Completed | Contacted,,Lead,ellie@decanexusorbit.org,,http://www.easy2drive-huizen.nl/,,,Easy2Drive Verkeersopleidingen,,larissa@easy2drive.nl,,,,,,,035 526 66 68
"RijFlow App NL",info@rijschoolproficiat.nl,Microsoft,Completed | Contacted,,Lead,howard@decanexusorbit.org,,http://www.rijschoolproficiat.nl/,,,Auto- en motorrijschool Proficiat,,info@rijschoolproficiat.nl,,,,,,,023 526 05 30
"RijFlow App NL",adri.burger@planet.nl,Other,Completed | Contacted,,Lead,charles@decanexusorbit.org,,None,,,Autorijschool A3,,adri.burger@planet.nl,,,,,,,0348563050
"RijFlow App NL",autorijschool@xs4all.nl,Other,Bounced,,Lead,ellie@decanexusorbit.org,,None,,,Autorijschool Scholten,,autorijschool@xs4all.nl,,,,,,,None
"RijFlow App NL",info@rijlesboeken.nl,Other,Completed | Contacted,,Lead,howard@decanexusorbit.org,,None,,,Rijlesboeken.nl B.V.,,info@rijlesboeken.nl,,,,,,,085 1303 688
"RijFlow App NL",info@ezendam.nl,Microsoft,Completed | Contacted,,Lead,ellie@decanexusorbit.org,,https://www.cbr.nl/rijbewijstips,,,Ezendam Rijopleidingen,,info@ezendam.nl,,,,,06 19 53 89 66,,
"RijFlow App NL",info@weeling.nl,Other,Completed | Contacted,,Lead,charles@decanexusorbit.org,,http://www.weeling.nl/,,,Autorijschool J. Weeling,,info@weeling.nl,,,,,,,020 684 97 10
"RijFlow App NL",info@rondoer.nl,Other,Completed | Contacted,,Lead,ellie@decanexusorbit.org,,None,,,Rond Oer,,info@rondoer.nl,,,,,,,0315683937
"RijFlow App NL",cplozekoot@kpnmail.nl,Other,Completed | Contacted,,Lead,howard@decanexusorbit.org,,None,,,Go-On rijschool t.h.o.d.n. NXXT,,cplozekoot@kpnmail.nl,,,,,,,036 537 59 00
"RijFlow App NL",info@rijschool5sterren.nl,Other,Completed | Contacted,,Lead,charles@decanexusorbit.org,,http://www.rijschool5sterren.nl/,,,Autorijschool 5 Sterren,,info@rijschool5sterren.nl,,,,,,,None
"RijFlow App NL",melissadietz@nxxt.nl,Microsoft,Bounced,,Lead,howard@decanexusorbit.org,,None,,,Rijschool Melissa t.h.o.d.n. NXXT,,melissadietz@nxxt.nl,,,,,,,None
"RijFlow App NL",tamercik73@hotmail.com,Microsoft,Completed | Contacted,,Lead,ellie@decanexusorbit.org,,None,,,Autorijschool Memoli,,tamercik73@hotmail.com,,,,,,,None
"RijFlow App NL",verkeersschool@leus.nl,Other,Completed | Contacted,,Lead,charles@decanexusorbit.org,,https://www.cbr.nl/rijbewijstips,,,Leus Verkeersschool B.V.,,verkeersschool@leus.nl,,,,,06 19 53 89 66,,
"RijFlow App NL",paulschwarte@nxxt.nl,Microsoft,Completed | Contacted,,Lead,charles@decanexusorbit.org,,None,,,Rijschool Paul Schwarte t.h.o.d.n. NXXT,,paulschwarte@nxxt.nl,,,,,,,None
"RijFlow App NL",ivo@voie.nl,Other,Completed | Contacted,,Lead,ellie@decanexusorbit.org,,None,,,Voie Autorijschool,,ivo@voie.nl,,,,,,,06 87 07 14 97
"RijFlow App NL",drive-youself@home.nl,Other,Bounced,,Lead,howard@decanexusorbit.org,,None,,,Drive Yourself,,drive-youself@home.nl,,,,,,,0546 800404
"RijFlow App NL",rehman0907@hotmail.com,Microsoft,Completed | Contacted,,Lead,charles@decanexusorbit.org,,None,,,Autorijschool DITTA,,rehman0907@hotmail.com,,,,,,,06 14 32 80 13
"RijFlow App NL",rijschooltonsmit@kpnmail.nl,Other,Bounced,,Lead,ellie@decanexusorbit.org,,None,,,Autorijschool Ton Smit,,rijschooltonsmit@kpnmail.nl,,,,,,,036 521 27 85
"RijFlow App NL",info@autorijschool-keppel.nl,Other,Completed | Contacted,,Lead,howard@decanexusorbit.org,,http://www.autorijschool-keppel.nl/,,,Autorijschool B.P. Keppel,,info@autorijschool-keppel.nl,,,,,,,035 683 77 67
"RijFlow App NL",verkeersschoolvoorrang@hotmail.com,Microsoft,Completed | Contacted,,Lead,charles@decanexusorbit.org,,http://www.voorrang.net/,,,Verkeersschool Voorrang,,verkeersschoolvoorrang@hotmail.com,,,,,,,072 511 02 40
"RijFlow App NL",info@rijexamenmakelaar.nl,Not Found,Bounced,,Lead,ellie@decanexusorbit.org,,http://www.rijschoolbomex.nl/,,,Rijschool Gerritsen,,info@rijexamenmakelaar.nl,,,,,,,020 737 05 67
"RijFlow App NL",info@danesh-rijschool.nl,Other,Completed | Contacted,,Lead,henry@allhydroonline.org,,https://www.cbr.nl/rijbewijstips,,,Danesh Autorijschool,,info@danesh-rijschool.nl,,,,,(0251) 22 06 08,,
"RijFlow App NL",info@lauritsen.nl,Other,Completed | Contacted,,Lead,howard@decanexusorbit.org,,http://www.lauritsen.nl/,,,L.C. Lauritsen,,info@lauritsen.nl,,,,,,,0252 67 49 94
"RijFlow App NL",martinaseegers@concepts.nl,Other,Completed | Contacted,,Lead,charles@decanexusorbit.org,,http://www.verkeersschoolmontferland.nl/,,,Verkeersschool Montferland,,martinaseegers@concepts.nl,,,,,,,None
"RijFlow App NL",ingridhilbelink@gmail.com,Google,Completed | Contacted,,Lead,howard@decanexusorbit.org,,None,,,Verkeersschool Ingrid Hilbelink,,ingridhilbelink@gmail.com,,,,,,,544378879
"RijFlow App NL",rijschooljeremy@gmail.com,Google,Completed | Contacted,,Lead,ellie@decanexusorbit.org,,None,,,Autorijschool JEREMY,,rijschooljeremy@gmail.com,,,,,,,035 772 37 50
"RijFlow App NL",info@dekinkelderrijopleidingen.nl,Other,Completed | Contacted,,Lead,charles@decanexusorbit.org,,https://dekinkelderrijopleidingen.nl/,,,Rijwijzer Verkeersscholen B.V.,,info@dekinkelderrijopleidingen.nl,,,,,,,085 06 06 113
"RijFlow App NL",rijschooltoekomst@live.nl,Microsoft,Completed | Contacted,,Lead,ellie@decanexusorbit.org,,http://www.rijschooltoekomst.nl/,,,Rijschool De Toekomst,,rijschooltoekomst@live.nl,,,,,,,None
"RijFlow App NL",info@mariannerijschool.nl,Google,Completed | Contacted,,Lead,howard@decanexusorbit.org,,http://www.mariannerijschool.nl/,,,Marianne Rijschool,,info@mariannerijschool.nl,,,,,,,035 642 42 21
"RijFlow App NL",2rralex@gmail.com,Google,Completed | Contacted,,Lead,charles@decanexusorbit.org,,http://www.2rr.nl/,,,2RR,,2rralex@gmail.com,,,,,,,06 452 396 88
"RijFlow App NL",gerritluiten@wanadoo.nl,Not Found,Bounced,,Lead,ellie@decanexusorbit.org,,None,,,Verkeersschool G.H. Luiten,,gerritluiten@wanadoo.nl,,,,,,,0543 45 19 39
"RijFlow App NL",info@rijschoolkameraad.nl,Other,Completed | Contacted,,Lead,howard@decanexusorbit.org,,None,,,Autorijschool Kameraad,,info@rijschoolkameraad.nl,,,,,,,0182 52 26 96
"RijFlow App NL",info@marissinkrijopleidingen.nl,Other,Completed | Contacted,,Lead,austin@teranetworkbase.org,,https://www.cbr.nl/rijbewijstips,,,Marissink Rijopleidingen,,info@marissinkrijopleidingen.nl,,,,,06 19 53 89 66,,
"RijFlow App NL",info@rijschool-zwakenberg.nl,Microsoft,Completed | Contacted,,Lead,ethan@allhydroonline.org,,https://www.cbr.nl/rijbewijstips,,,Auto- en Motorrijschool Leo Zwakenberg,,info@rijschool-zwakenberg.nl,,,,,06 19 53 89 66,,
"RijFlow App NL",ronaldelderhorst@hotmail.nl,Microsoft,Completed | Contacted,,Lead,charles@decanexusorbit.org,,http://www.autorijschoolelderhorst.nl/,,,Autorijschool Elderhorst,,ronaldelderhorst@hotmail.nl,,,,,,,023 562 06 46
"RijFlow App NL",moesje@moesje.nl,Other,Completed | Contacted,,Lead,howard@decanexusorbit.org,,http://www.moesje.nl/,,,Rijschool Moesje,,moesje@moesje.nl,,,,,,,None
"RijFlow App NL",info@rijschoolrotman.nl,Other,Completed | Contacted,,Lead,ellie@decanexusorbit.org,,http://www.rijschoolrotman.nl/,,,Rijschool Rotman,,info@rijschoolrotman.nl,,,,,,,0546 84 22 60
"RijFlow App NL",elouiza@live.nl,Microsoft,Completed | Contacted,,Lead,charles@decanexusorbit.org,,None,,,Autorijschool Elouiza,,elouiza@live.nl,,,,,,,None
"RijFlow App NL",info@rijschoolheemskerk.nl,Other,Completed | Contacted,,Lead,henry@allhydroonline.org,,https://www.cbr.nl/rijbewijstips,,,Rijschool Heemskerk,,info@rijschoolheemskerk.nl,,,,,(0251) 22 06 08,,
"RijFlow App NL",info@rijschoolcompany.nl,Other,Completed | Contacted,,Lead,ellie@decanexusorbit.org,,None,,,Rijschool Company,,info@rijschoolcompany.nl,,,,,,,020 260 01 05
"RijFlow App NL",hjg.lammertink@hetnet.nl,Other,Completed | Contacted,,Lead,charles@decanexusorbit.org,,http://www.rijschoolsilviakamphuis.nl/,,,Autorijschool Lammertink,,hjg.lammertink@hetnet.nl,,,,,,,06 58825173
"RijFlow App NL",egveerkamp66@gmail.com,Google,Completed | Contacted,,Lead,howard@decanexusorbit.org,,None,,,E. Veerkamp,,egveerkamp66@gmail.com,,,,,,,036 536 62 53
"RijFlow App NL",info@autorijschoolevre.nl,Other,Completed | Contacted,,Lead,john@teranetworkbase.org,,https://www.cbr.nl/rijbewijstips,,,Autorijschool Evre,,info@autorijschoolevre.nl,,,,,(033) 298 22 70,,
"RijFlow App NL",info@rijschoolvsl.nl,Other,Completed | Contacted,,Lead,ellie@decanexusorbit.org,,https://www.rijschoolvsl.nl/,,,VSL Verkeerseducatie VOF,,info@rijschoolvsl.nl,,,,,,,085303 0789
"RijFlow App NL",dudu-kilic@hotmail.com,Microsoft,Completed | Contacted,,Lead,howard@decanexusorbit.org,,https://rijschoolmetin.nl/,,,Rijschool Metin,,dudu-kilic@hotmail.com,,,,,,,023 549 16 59
"RijFlow App NL",info@rijopleidingalex.nl,Other,Completed | Contacted,,Lead,hannah@teranetworkbase.org,,https://www.cbr.nl/rijbewijstips,,,RijopleidingAlex.nl,,info@rijopleidingalex.nl,,,,,(0251) 22 06 08,,
"RijFlow App NL",info@wolf.nl,Microsoft,Completed | Contacted,,Lead,charles@decanexusorbit.org,,http://www.wolfrijbewijsshop.nl/,,,Wolf Rijbewijsshop.nl,,info@wolf.nl,,,,,,,None
"RijFlow App NL",m.halici@live.nl,Microsoft,Completed | Contacted,,Lead,ellie@decanexusorbit.org,,None,,,Autorijschool M. Halici,,m.halici@live.nl,,,,,,,035 526 85 53
"RijFlow App NL",dvermaazen@anwb-rijopleiding.nl,Other,Completed | Contacted,,Lead,howard@decanexusorbit.org,,http://www.anwb.nl/rijopleiding,,,ANWB Rijopleiding Almere Gooi en Vechtstreek,,dvermaazen@anwb-rijopleiding.nl,,,,,,,035 303 09 03
"RijFlow App NL",cihanyalcin@live.nl,Microsoft,Completed | Contacted,,Lead,charles@decanexusorbit.org,,https://www.autorijschoolelite.nl/,,,Rijschool Elite,,cihanyalcin@live.nl,,,,,,,06 26 74 47 31
"RijFlow App NL",info@rijschoolbernoharmsen.nl,Other,Completed | Contacted,,Lead,howard@allhydroonline.org,,https://www.cbr.nl/rijbewijstips,,,Rijschool Berno Harmsen,,info@rijschoolbernoharmsen.nl,,,,,06 19 53 89 66,,
"RijFlow App NL",info@verkeersschoolalkmaar.nl,Other,Completed | Contacted,,Lead,ellie@decanexusorbit.org,,http://www.verkeersschoolalkmaar.nl/,,,Verkeersschool Alkmaar,,info@verkeersschoolalkmaar.nl,,,,,,,None
"RijFlow App NL",info@evralmere.nl,Other,Completed | Contacted,,Lead,howard@decanexusorbit.org,,http://www.evralmere.nl/,,,EVR Almere,,info@evralmere.nl,,,,,,,06 14 14 14 92
"RijFlow App NL",info@automotorrijschooltop.nl,Other,Completed | Contacted,,Lead,charles@decanexusorbit.org,,http://www.topverkeersschool.nl/,,,Autorijschool Top,,info@automotorrijschooltop.nl,,,,,,,035 621 08 43
"RijFlow App NL",info@janhofman.nl,Microsoft,Completed | Contacted,,Lead,howard@decanexusorbit.org,,https://www.cbr.nl/rijbewijstips,,,De Twentse Rijopleiding,,info@janhofman.nl,,,,,06 19 53 89 66,,
"RijFlow App NL",eduardmouw@hotmail.com,Microsoft,Completed | Contacted,,Lead,austin@teranetworkbase.org,,https://www.cbr.nl/rijbewijstips,,,Autorijschool E. Mouw,,eduardmouw@hotmail.com,,,,,06 19 53 89 66,,
"RijFlow App NL",ars.marhaba@live.nl,Microsoft,Completed | Contacted,,Lead,ellie@decanexusorbit.org,,None,,,Rijschool MARHABA,,ars.marhaba@live.nl,,,,,,,020 893 84 37
"RijFlow App NL",rob@rijschoolfolkers.nl,Other,Completed | Contacted,,Lead,charles@decanexusorbit.org,,http://www.rijschoolfolkers.nl/,,,Autorijschool Folkers,,rob@rijschoolfolkers.nl,,,,,,,035 524 42 62
"RijFlow App NL",info@autorijschoolgooijer.nl,Other,Completed | Contacted,,Lead,howard@decanexusorbit.org,,http://www.autorijschoolgooijer.nl/,,,Autorijschool Gooijer,,info@autorijschoolgooijer.nl,,,,,,,06 23 34 30 58
"RijFlow App NL",hetty.zeeman@zonnet.nl,Other,Completed | Contacted,,Lead,charles@decanexusorbit.org,,None,,,Autorijschool H.N.A. Zeeman,,hetty.zeeman@zonnet.nl,,,,,,,0174 51 65 49
"RijFlow App NL",info@verkeersschoollemaire.nl,Other,Completed | Contacted,,Lead,ellie@decanexusorbit.org,,https://verkeersschoollemaire.nl/,,,Verkeersschool Lemaire,,info@verkeersschoollemaire.nl,,,,,,,0314 366 696
"RijFlow App NL",info@autorijschooljozz.nl,Other,Completed | Contacted,,Lead,charles@decanexusorbit.org,,https://www.cbr.nl/rijbewijstips,,,Autorijschool Jozz,,info@autorijschooljozz.nl,,,,,(0251) 22 06 08,,
"RijFlow App NL",info@autorijschoolkemperman.nl,Other,Completed | Contacted,,Lead,howard@decanexusorbit.org,,None,,,Autorijschool Kemperman,,info@autorijschoolkemperman.nl,,,,,,,0316529531
"RijFlow App NL",info@nelen.nl,Microsoft,Completed | Contacted,,Lead,ellie@decanexusorbit.org,,http://www.nelen.nl/,,,Verkeersschool Nelen B.V.,,info@nelen.nl,,,,,,,None
"RijFlow App NL",welkom@autorijschoolbast.nl,Google,Completed | Contacted,,Lead,howard@decanexusorbit.org,,None,,,Autorijschool Bast,,welkom@autorijschoolbast.nl,,,,,,,None
"RijFlow App NL",info@avoweb.nl,Other,Completed | Contacted,,Lead,charles@decanexusorbit.org,,http://www.avoweb.nl/,,,Amsterdamse Verkeersopleidingen,,info@avoweb.nl,,,,,,,0202601300
"RijFlow App NL",roosinkrijinstructie@gmail.com,Google,Completed | Contacted,,Lead,ellie@decanexusorbit.org,,None,,,Roosink Rij-instructie,,roosinkrijinstructie@gmail.com,,,,,,,0548543507
"RijFlow App NL",info@verkeersschooladam-eva.nl,Microsoft,Completed | Contacted,,Lead,jeremy@allhydroonline.org,,https://www.cbr.nl/rijbewijstips,,,Autorijschool "Adam En Eva",,info@verkeersschooladam-eva.nl,,,,,(072) 571 58 71,,
"RijFlow App NL",rijbewijs@hoefijzer.info,Other,Completed | Contacted,,Lead,charles@decanexusorbit.org,,http://www.hoefijzer.info/,,,Auto- en Motorrijschool 't Hoefijzer,,rijbewijs@hoefijzer.info,,,,,,,033 246 55 07
"RijFlow App NL",info@rijschoolvanvoorst.nl,Other,Completed | Contacted,,Lead,howard@decanexusorbit.org,,http://www.rijschoolvanvoorst.nl/,,,Rijschool Van Voorst,,info@rijschoolvanvoorst.nl,,,,,,,None
